contractSymbol,bid,ask,Predicted Call Price
AAPL231215C00065000,130.5,131.25,130.77998681246413
AAPL231215C00070000,125.4,126.0,125.84063268171815
AAPL231215C00075000,120.5,121.3,120.79304120546485
AAPL231215C00080000,115.5,116.25,115.78272766964339
AAPL231215C00085000,110.55,111.3,110.80743054868175
AAPL231215C00090000,105.55,106.3,105.80848540260129
AAPL231215C00095000,100.55,101.05,100.75199839439026
AAPL231215C00100000,95.55,96.05,95.75295717188418
AAPL231215C00105000,90.55,91.25,90.79979903127004
AAPL231215C00110000,85.55,86.35,85.82602795256666
AAPL231215C00115000,80.55,81.25,80.80226347179436
AAPL231215C00120000,75.6,76.1,75.77919754259166
AAPL231215C00125000,70.6,71.2,70.80518816579925
AAPL231215C00130000,65.5,66.1,65.75841666907462
AAPL231215C00135000,60.6,61.4,60.86229864669468
AAPL231215C00140000,55.6,56.4,55.864526982720406
AAPL231215C00145000,50.6,51.4,50.86699628953491
AAPL231215C00150000,45.6,46.4,45.870113305346706
AAPL231215C00155000,40.55,41.1,40.77670806071674
AAPL231215C00157500,38.15,38.9,38.3901360729287
AAPL231215C00160000,35.65,36.4,35.891970146252646
AAPL231215C00162500,33.15,33.95,33.40904228619465
AAPL231215C00165000,30.65,31.35,30.88085454497738
AAPL231215C00167500,28.15,28.8,28.368146634225212
AAPL231215C00170000,25.65,26.0,25.782042073245833
AAPL231215C00172500,23.2,23.75,23.372100667151784
AAPL231215C00175000,20.7,21.2,20.85935155439452
AAPL231215C00177500,18.2,18.7,18.36173035514898
AAPL231215C00180000,15.7,16.25,16.072955225309443
AAPL231215C00182500,13.25,13.8,13.617864720778385
AAPL231215C00185000,10.95,11.3,11.127793204378662
AAPL231215C00187500,8.5,8.8,8.640434514312574
AAPL231215C00190000,6.15,6.35,6.196595021815369
AAPL231215C00192500,4.0,4.1,3.9334841471139157
AAPL231215C00195000,2.25,2.28,2.0935919788739454
AAPL231215C00197500,1.02,1.05,0.8830894021352407
AAPL231215C00200000,0.4,0.41,0.29849225212218045
AAPL231215C00202500,0.14,0.16,0.09868269483107817
AAPL231215C00205000,0.06,0.07,0.03582213939833068
AAPL231215C00207500,0.03,0.04,0.01854831742921359
AAPL231215C00210000,0.02,0.03,0.01244283473540575
AAPL231215C00212500,0.0,0.02,0.007074538098332139
AAPL231215C00215000,0.0,0.02,0.007525858822256426
AAPL231215C00217500,0.0,0.01,0.0027861176422349088
AAPL231215C00220000,0.0,0.01,0.0033705394390997068
AAPL231215C00225000,0.0,0.01,0.00315504844783121
AAPL231215C00230000,0.0,0.01,0.003162913663591005
AAPL231215C00235000,0.0,0.01,0.0010534654635964286
AAPL231215C00240000,0.0,0.01,0.001281217107823196
AAPL231215C00245000,0.0,0.01,0.0010975766533819348
AAPL231215C00250000,0.0,0.01,0.0013775698629892724
AAPL231215C00255000,0.0,0.01,0.0009232426695148163
AAPL231215C00260000,0.0,0.01,0.0012058071937454465
AAPL231215C00265000,0.0,0.01,0.0008822917800024518
AAPL231215C00270000,0.0,0.01,0.0011736919101596605
AAPL231215C00275000,0.0,0.01,0.0009171847431943825
AAPL231215C00280000,0.0,0.01,0.0012274337179631264
AAPL231215C00285000,0.0,0.01,0.001008700783609165
