contractSymbol,bid,ask,Predicted Call Price
AAPL231215C00065000,130.5,131.25,130.80280762324918
AAPL231215C00070000,125.4,126.0,125.86507068163058
AAPL231215C00075000,120.5,121.3,120.81934619533705
AAPL231215C00080000,115.5,116.25,115.8108178731849
AAPL231215C00085000,110.55,111.3,110.8372065761146
AAPL231215C00090000,105.55,106.3,105.84001062637489
AAPL231215C00095000,100.55,101.05,100.78546959544609
AAPL231215C00100000,95.55,96.05,95.78818650188491
AAPL231215C00105000,90.55,91.25,90.8366040149665
AAPL231215C00110000,85.55,86.35,85.86448259793195
AAPL231215C00115000,80.55,81.25,80.84255245076068
AAPL231215C00120000,75.6,76.1,75.82133489648577
AAPL231215C00125000,70.6,71.2,70.84894634256706
AAPL231215C00130000,65.5,66.1,65.8041668643279
AAPL231215C00135000,60.6,61.4,60.90923419643934
AAPL231215C00140000,55.6,56.4,55.91315257500969
AAPL231215C00145000,50.6,51.4,50.91729788293054
AAPL231215C00150000,45.6,46.4,45.92207047996453
AAPL231215C00155000,40.55,41.1,40.831015033333244
AAPL231215C00157500,38.15,38.9,38.44442833920775
AAPL231215C00160000,35.65,36.4,35.94705199597465
AAPL231215C00162500,33.15,33.95,33.464791487889386
AAPL231215C00165000,30.65,31.35,30.937595804929742
AAPL231215C00167500,28.15,28.8,28.42576835540507
AAPL231215C00170000,25.65,26.0,25.841344673781805
AAPL231215C00172500,23.2,23.75,23.431181151882754
AAPL231215C00175000,20.7,21.2,20.919280188667784
AAPL231215C00177500,18.2,18.7,18.422311381443365
AAPL231215C00180000,15.7,16.25,16.131848781059574
AAPL231215C00182500,13.25,13.8,13.676613994907655
AAPL231215C00185000,10.95,11.3,11.186490813252192
AAPL231215C00187500,8.5,8.8,8.698685114240021
AAPL231215C00190000,6.15,6.35,6.253159507557854
AAPL231215C00192500,4.0,4.1,3.984582671679277
AAPL231215C00195000,2.25,2.28,2.1327111639406553
AAPL231215C00197500,1.02,1.05,0.9061926263609195
AAPL231215C00200000,0.4,0.41,0.30869423522782213
AAPL231215C00202500,0.14,0.16,0.10260164744355826
AAPL231215C00205000,0.06,0.07,0.037347500931264044
AAPL231215C00207500,0.03,0.04,0.019318124364328337
AAPL231215C00210000,0.02,0.03,0.012925912103691983
AAPL231215C00212500,0.0,0.02,0.007343485320921883
AAPL231215C00215000,0.0,0.02,0.007779084689939264
AAPL231215C00217500,0.0,0.01,0.00288628027835669
AAPL231215C00220000,0.0,0.01,0.0034782548023178372
AAPL231215C00225000,0.0,0.01,0.003242652652704736
AAPL231215C00230000,0.0,0.01,0.0032403300631338172
AAPL231215C00235000,0.0,0.01,0.0010803771711882237
AAPL231215C00240000,0.0,0.01,0.0013102202672117813
AAPL231215C00245000,0.0,0.01,0.0011208660551544625
AAPL231215C00250000,0.0,0.01,0.0014039030278771986
AAPL231215C00255000,0.0,0.01,0.0009405688472473375
AAPL231215C00260000,0.0,0.01,0.0012263844604472052
AAPL231215C00265000,0.0,0.01,0.0008970628060494673
AAPL231215C00270000,0.0,0.01,0.0011917033786470882
AAPL231215C00275000,0.0,0.01,0.0009309921545895689
AAPL231215C00280000,0.0,0.01,0.001244487432070021
AAPL231215C00285000,0.0,0.01,0.0010224523468776586
AAPL231215C00290000,0.0,0.01,0.000858727702422353
AAPL231215C00295000,0.0,0.01,0.00116628327912717
AAPL231222C00060000,135.55,136.1,135.86379920652337
AAPL231222C00075000,120.55,121.15,120.90236898576437
AAPL231222C00080000,115.6,116.15,115.92718549872662
AAPL231222C00085000,110.6,111.15,110.93272412212892
AAPL231222C00100000,95.65,96.2,95.99031796425224
AAPL231222C00105000,86.3,86.8,90.84376814309407
AAPL231222C00110000,85.65,86.25,86.02311607395181
AAPL231222C00120000,75.7,76.25,76.05696815552974
AAPL231222C00125000,70.7,71.3,71.08374161270885
AAPL231222C00130000,65.7,66.3,66.09002298872976
AAPL231222C00135000,60.7,61.3,61.09738695842921
AAPL231222C00140000,55.75,56.3,56.124227454910965
AAPL231222C00145000,50.6,51.35,51.09118366753117
AAPL231222C00150000,45.75,46.35,46.15883538895048
AAPL231222C00155000,40.8,41.35,41.1873668151249
AAPL231222C00160000,35.8,36.4,36.214999926561234
AAPL231222C00162500,33.3,33.9,33.71840165303462
AAPL231222C00165000,30.85,31.4,31.24310962166973
AAPL231222C00170000,25.85,26.45,26.272776244781085
AAPL231222C00172500,23.4,23.95,24.032175463967206
AAPL231222C00175000,20.9,21.5,21.581441197649525
AAPL231222C00177500,18.45,19.0,19.08708115251656
AAPL231222C00180000,16.05,16.5,16.591941183009396
AAPL231222C00182500,13.6,13.95,14.05350494783059
AAPL231222C00185000,11.2,11.5,11.603058903838388
AAPL231222C00187500,8.85,9.1,9.197879570089611
AAPL231222C00190000,6.65,6.8,6.8846851720740005
AAPL231222C00192500,4.65,4.75,4.806005966773711
AAPL231222C00195000,2.96,3.05,3.0725424115212263
AAPL231222C00197500,1.66,1.71,1.7042671871887478
AAPL231222C00200000,0.82,0.85,0.8291634152943459
AAPL231222C00202500,0.38,0.4,0.3781334589358245
AAPL231222C00205000,0.18,0.19,0.17266812073606808
AAPL231222C00207500,0.09,0.1,0.08736936040045062
AAPL231222C00210000,0.05,0.07,0.059362759727396686
AAPL231222C00212500,0.03,0.05,0.04014487267451239
AAPL231222C00215000,0.02,0.04,0.03144748030683875
AAPL231222C00217500,0.0,0.04,0.030920004830414793
AAPL231222C00220000,0.01,0.03,0.022475420808777624
AAPL231222C00222500,0.0,0.02,0.014834100517649218
AAPL231222C00225000,0.0,0.02,0.013807451230927748
AAPL231222C00230000,0.0,0.02,0.014127454261444461
AAPL231222C00235000,0.0,0.02,0.013509041072883976
AAPL231222C00240000,0.0,0.02,0.01342480593717188
AAPL231222C00250000,0.0,0.01,0.007043155766994436
AAPL231222C00255000,0.0,0.01,0.006558635069906782
AAPL231229C00050000,145.55,146.1,145.90380336814297
AAPL231229C00080000,115.7,116.25,116.0913783994605
AAPL231229C00095000,100.75,101.3,101.16512861160032
AAPL231229C00100000,95.75,96.3,96.17492907798525
AAPL231229C00105000,90.8,91.3,91.20761775962058
AAPL231229C00115000,80.8,81.35,81.24887101222686
AAPL231229C00125000,70.85,71.4,71.31452172882423
AAPL231229C00130000,65.85,66.4,66.32551418343114
AAPL231229C00135000,60.9,61.45,61.37875481588293
AAPL231229C00140000,55.95,56.45,56.41056805568576
AAPL231229C00145000,50.95,51.5,51.44458750770099
AAPL231229C00150000,46.0,46.55,46.49896085440736
AAPL231229C00155000,41.0,41.55,41.50983684715203
AAPL231229C00160000,36.05,36.6,36.564840464021756
AAPL231229C00165000,30.95,31.65,31.866182348095492
AAPL231229C00170000,26.15,26.65,26.87683720319697
AAPL231229C00175000,21.15,21.75,21.978069223971346
AAPL231229C00180000,16.35,16.7,16.941570659450292
AAPL231229C00185000,11.6,11.85,12.08647290525738
AAPL231229C00190000,7.15,7.3,7.5051140215257135
AAPL231229C00195000,3.55,3.6,3.7321159567946864
AAPL231229C00200000,1.27,1.29,1.3400285006542845
AAPL231229C00205000,0.34,0.36,0.36757707750961544
AAPL231229C00210000,0.11,0.12,0.1180275562179931
AAPL231229C00215000,0.05,0.06,0.056407949394758905
AAPL231229C00220000,0.03,0.04,0.03744687894436938
AAPL231229C00225000,0.0,0.02,0.017715043426610677
AAPL231229C00230000,0.0,0.02,0.017424583290023832
AAPL231229C00235000,0.0,0.01,0.008537684908329013
AAPL231229C00240000,0.0,0.01,0.007870454218516676
AAPL231229C00245000,0.0,0.01,0.00857841230851969
AAPL231229C00250000,0.0,0.01,0.007465142046046314
AAPL231229C00255000,0.0,0.01,0.008462240300971202
AAPL231229C00265000,0.0,0.01,0.007350326294587817
AAPL240105C00100000,95.7,96.55,96.35563732319092
AAPL240105C00120000,75.8,76.65,76.50197474259413
AAPL240105C00125000,70.85,71.7,71.5614141004193
AAPL240105C00130000,65.85,66.7,66.57546524888785
AAPL240105C00135000,60.8,61.75,61.59008626843263
AAPL240105C00140000,55.9,56.75,56.649705075483894
AAPL240105C00145000,50.95,51.8,51.708915581089
AAPL240105C00150000,46.0,46.85,46.76746922438235
AAPL240105C00155000,41.0,41.9,41.803316330885195
AAPL240105C00160000,36.05,36.9,36.83950229664691
AAPL240105C00165000,31.1,31.95,32.2867671411326
AAPL240105C00170000,26.15,27.05,27.391555274171935
AAPL240105C00175000,21.5,21.9,22.26360425555879
AAPL240105C00180000,16.65,17.0,17.36565268675986
AAPL240105C00185000,12.0,12.2,12.554669380690939
AAPL240105C00190000,7.7,7.8,8.112016178287917
AAPL240105C00195000,4.1,4.25,4.474687945986048
AAPL240105C00200000,1.75,1.79,1.9113291126918597
AAPL240105C00205000,0.58,0.61,0.6547165361960481
AAPL240105C00210000,0.19,0.21,0.22389849996499933
AAPL240105C00215000,0.09,0.1,0.10310941687642394
AAPL240105C00220000,0.04,0.06,0.060556147436547914
AAPL240105C00225000,0.01,0.04,0.03930841394314322
AAPL240105C00230000,0.0,0.03,0.028729277596155622
AAPL240105C00235000,0.0,0.02,0.01958397669163736
AAPL240105C00240000,0.0,0.02,0.018608231984564405
AAPL240105C00250000,0.0,0.01,0.009190493058317373
AAPL240105C00260000,0.0,0.01,0.008401644850209444
AAPL240112C00135000,60.9,61.9,61.81934094894176
AAPL240112C00140000,55.95,57.05,56.92829141706906
AAPL240112C00145000,51.0,52.15,52.01437210510707
AAPL240112C00155000,41.1,42.15,42.09330564441885
AAPL240112C00160000,36.3,37.3,37.734132622126054
AAPL240112C00165000,31.35,32.45,32.889183892589756
AAPL240112C00170000,26.65,27.1,27.576382715598356
AAPL240112C00175000,21.75,22.2,22.68033645785502
AAPL240112C00180000,17.0,17.35,17.827729704839754
AAPL240112C00185000,12.45,12.65,13.108990666052762
AAPL240112C00190000,8.25,8.4,8.804308273080494
AAPL240112C00195000,4.8,4.9,5.209975565523848
AAPL240112C00200000,2.3,2.34,2.533998772209003
AAPL240112C00205000,0.88,0.94,1.0343507068871602
AAPL240112C00210000,0.32,0.34,0.3767320914319576
AAPL240112C00215000,0.13,0.15,0.16483738480838284
AAPL240112C00220000,0.06,0.08,0.08604158219499602
AAPL240112C00225000,0.04,0.06,0.06443500837169225
AAPL240112C00230000,0.02,0.05,0.051149192328689086
AAPL240119C00050000,145.75,146.25,146.19381448074543
AAPL240119C00055000,140.8,141.3,141.26210835405712
AAPL240119C00060000,135.8,136.3,136.28423157709176
AAPL240119C00065000,130.85,131.35,131.35090256958185
AAPL240119C00070000,125.9,126.4,126.41855284521085
AAPL240119C00075000,120.95,121.45,121.48754915523072
AAPL240119C00080000,115.95,116.45,116.50847873736191
AAPL240119C00085000,111.0,111.5,111.5771355659917
AAPL240119C00090000,106.05,106.55,106.64437851139301
AAPL240119C00095000,101.05,101.55,101.66730507486496
AAPL240119C00100000,96.1,96.6,96.73532435110926
AAPL240119C00105000,91.15,91.65,91.80275565111455
